symbol,GSM1308942_BMGMdbdb.TMM.data.txt.gz,GSM1308941_BMGMdb.TMM.data.txt.gz,GSM1308940_BMMCdbdb.TMM.data.txt.gz,GSM1308939_BMMCdb.TMM.data.txt.gz
Cyb5d2,476.6,459.9,387.7,464.2
Cyb5r1,2013.9,2106.3,1785.4,1636.9
Cyb5r2,12.9,3.4,18.3,19.0
Cyb5r3,4628.1,4579.4,2537.3,2510.1
Cyb5r4,1609.4,1554.5,840.8,864.6
Cyb5rl,173.2,172.7,81.9,72.3
Cyba,18597.3,18627.1,5763.1,7068.0
Cybasc3,1726.7,1903.3,987.2,1010.1
Cybb,31700.5,31108.0,16072.0,18267.0
Cybrd1,2.2,0.0,7.0,13.3
Cyc1,1743.9,1555.6,1253.9,1159.5
Cycs,1194.1,1123.8,725.8,629.7
Cyct,2.2,0.0,0.9,2.8
Cyfip1,6530.1,6666.6,8986.2,8900.9
Cyfip2,1275.9,1303.3,389.5,487.0
Cygb,0.0,0.0,7.8,11.4
Cyhr1,1016.6,987.0,1040.4,1124.3
Cylc1,0.0,1.1,0.9,1.9
Cylc2,0.0,0.0,1.7,7.6
Cyld,2163.4,2226.3,2757.8,2696.5
Cym,0.0,0.0,0.0,4.8
Cyp11a1,115.1,70.7,5.2,9.5
Cyp11b1,2.2,0.0,1.7,4.8
Cyp11b2,2.2,0.0,1.7,0.9
Cyp17a1,0.0,0.0,2.6,4.8
Cyp19a1,2.2,1.1,0.9,2.8
Cyp1a1,0.0,1.1,0.9,6.7
Cyp1a2,0.0,0.0,0.0,3.8
Cyp1b1,164.6,169.4,6131.6,2105.9
Cyp20a1,824.1,806.4,865.2,670.6
Cyp21a1,0.0,0.0,1.7,0.9
Cyp24a1,0.0,0.0,0.9,1.9
Cyp26a1,0.0,1.1,0.9,0.9
Cyp26b1,19.4,11.2,68.0,50.4
Cyp26c1,2.2,5.6,4.3,15.2
Cyp27a1,334.6,299.5,1645.1,1894.7
Cyp27b1,4.3,1.1,2.6,3.8
Cyp2a12,1.1,1.1,2.6,0.9
Cyp2a22,0.0,1.1,0.0,2.8
Cyp2a4,2.2,0.0,1.7,0.9
Cyp2a5,3.2,0.0,0.9,0.9
Cyp2ab1,108.7,101.0,8.7,11.4
Cyp2b10,0.0,0.0,1.7,0.0
Cyp2b13,0.0,1.1,0.0,0.0
Cyp2b19,2.2,2.3,0.0,4.8
Cyp2b23,0.0,0.0,0.9,0.9
Cyp2b9,0.0,1.1,0.0,0.9
Cyp2c29,0.0,0.0,0.0,2.8
Cyp2c37,0.0,0.0,0.0,0.9
Cyp2c38,0.0,0.0,0.0,0.9
Cyp2c39,2.2,0.0,0.0,1.9
Cyp2c40,0.0,1.1,0.0,0.9
Cyp2c44,0.0,0.0,1.7,3.8
Cyp2c50,1.1,0.0,1.7,2.8
Cyp2c53-ps,0.0,0.0,0.0,0.0
Cyp2c54,0.0,0.0,0.0,2.8
Cyp2c55,0.0,0.0,0.0,0.0
Cyp2c65,0.0,0.0,0.0,1.9
Cyp2c66,0.0,0.0,0.0,3.8
Cyp2c67,0.0,0.0,0.0,1.9
Cyp2c68,0.0,0.0,0.0,0.0
Cyp2c69,0.0,0.0,0.9,0.0
Cyp2c70,2.2,0.0,0.0,0.9
Cyp2d10,0.0,0.0,0.9,2.8
Cyp2d11,0.0,0.0,0.9,3.8
